Symbol,Name,Sector,Industry
RELIANCE,Reliance Industries Ltd,Energy,Oil & Gas
TCS,Tata Consultancy Services,Technology,IT Services
HDFCBANK,HDFC Bank Ltd,Finance,Banking
INFY,Infosys Ltd,Technology,IT Services
ICICIBANK,ICICI Bank Ltd,Finance,Banking
HINDUNILVR,Hindustan Unilever,Consumer,FMCG
ITC,ITC Ltd,Consumer,FMCG
SBIN,State Bank of India,Finance,Banking
BHARTIARTL,Bharti Airtel,Telecom,Telecommunications
KOTAKBANK,Kotak Mahindra Bank,Finance,Banking
LT,Larsen & Toubro,Industrials,Construction
AXISBANK,Axis Bank Ltd,Finance,Banking
ASIANPAINT,Asian Paints Ltd,Consumer,Paints
MARUTI,Maruti Suzuki India,Auto,Automobiles
SUNPHARMA,Sun Pharmaceutical,Healthcare,Pharmaceuticals
TITAN,Titan Company Ltd,Consumer,Jewelry
BAJFINANCE,Bajaj Finance Ltd,Finance,NBFC
NESTLEIND,Nestle India Ltd,Consumer,FMCG
ULTRACEMCO,UltraTech Cement,Materials,Cement
WIPRO,Wipro Ltd,Technology,IT Services
ONGC,Oil & Natural Gas Corp,Energy,Oil & Gas
NTPC,NTPC Ltd,Utilities,Power
POWERGRID,Power Grid Corp,Utilities,Power
M&M,Mahindra & Mahindra,Auto,Automobiles
TATAMOTORS,Tata Motors Ltd,Auto,Automobiles
TATASTEEL,Tata Steel Ltd,Materials,Steel
TECHM,Tech Mahindra Ltd,Technology,IT Services
HCLTECH,HCL Technologies,Technology,IT Services
ADANIPORTS,Adani Ports & SEZ,Industrials,Infrastructure
COALINDIA,Coal India Ltd,Energy,Mining
DIVISLAB,Divi's Laboratories,Healthcare,Pharmaceuticals
DRREDDY,Dr. Reddy's Labs,Healthcare,Pharmaceuticals
BAJAJFINSV,Bajaj Finserv Ltd,Finance,NBFC
BAJAJ-AUTO,Bajaj Auto Ltd,Auto,Automobiles
BRITANNIA,Britannia Industries,Consumer,FMCG
CIPLA,Cipla Ltd,Healthcare,Pharmaceuticals
EICHERMOT,Eicher Motors Ltd,Auto,Automobiles
GRASIM,Grasim Industries,Materials,Diversified
HEROMOTOCO,Hero MotoCorp Ltd,Auto,Automobiles
HINDALCO,Hindalco Industries,Materials,Metals
INDUSINDBK,IndusInd Bank Ltd,Finance,Banking
JSWSTEEL,JSW Steel Ltd,Materials,Steel
SHREECEM,Shree Cement Ltd,Materials,Cement
TATACONSUM,Tata Consumer Products,Consumer,FMCG
UPL,UPL Ltd,Materials,Chemicals
VEDL,Vedanta Ltd,Materials,Mining
